Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.26394074,18.86627814,11.67157257,2.19580451,4.539317283,2.370641508,4.092614763,4.800351995,-0.567201754,-1.830023738,3.854744451,-1.027089526,-1.689536653,4.924526629,2.355477582,-2.121341944,0.107045882,6.331365902,-1.377378772,-0.060443068,1.831639934,0.579383698,-12.76027101,-3.827863063,2.402779425,-1.839358392,5.636969984,-2.264868615,-1.255588342,1.121182099,6.474908497,1.876401377,-2.743402019,-24.08456928,27.69686459,10.55378605,
Africa Eastern and Southern,AFE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,2.535607033,-0.419141522,1.62261471,2.639805741,-1.683162747,-0.655776085,-1.80721573,-1.556029773,0.016065378,2.517848349,1.118287964,-2.720891814,-2.815969966,0.380038485,-3.094735176,-0.809568269,0.815143226,1.224489209,-0.149531497,-2.663743842,-2.825686424,-4.822730388,-3.193286621,-0.580893874,1.615781549,2.677773458,1.241337421,-0.761836102,0.069730812,0.59995141,0.876648184,1.181544416,0.308408713,2.827336989,3.401752148,3.773763096,3.794973521,1.546918462,-1.862447786,2.399482355,1.277337277,-0.992723359,1.481736437,1.17568022,0.196404723,-0.540575194,-0.013606543,-0.006766857,-0.490384432,-5.307382433,1.84862599,1.002070932,
Afghanistan,AFG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927029128,-2.497254639,7.321873841,1.084988201,11.80338266,1.864754466,17.14353433,11.09921992,-3.211364296,8.247144252,2.002522145,-0.964803329,-1.666416415,-0.345802497,-0.253593782,-1.688576593,0.932833389,-5.364665931,-22.96694199,,
Africa Western and Central,AFW,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-0.252715387,1.593037404,4.977373816,3.132322814,1.801775811,-3.959185957,-11.5621481,-0.818254154,12.91250521,15.18145169,8.208328623,0.70794196,1.668869564,7.451792685,-4.733915297,5.701547729,1.952764133,-4.866346792,2.296777848,-0.775035395,-9.548820223,-6.094419746,-9.035429133,-1.999439545,2.773932479,-1.272327036,-1.223282383,2.080158555,-0.477822982,3.819869279,-1.479701148,-0.039406073,-3.776592295,-2.827678776,-0.741662937,1.901170388,1.528032652,0.739667082,-1.252179673,0.955574606,2.338397658,6.912486904,2.644609013,5.025750998,2.901298109,2.471764856,2.621750875,3.351724046,3.344951874,4.008639501,1.944590083,2.260045937,3.255268521,3.090523041,0.087834074,-2.503057273,-0.408929811,0.165181058,0.552386828,-3.463222217,1.367742877,1.196174029,
Angola,AGO,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,-7.738347877,-3.528441229,0.498296559,2.24177897,-0.163475064,-0.704614526,0.564519377,2.614974829,-3.274912568,-6.626409313,-2.312501779,-8.848293617,-26.34912367,-1.850621046,11.27842237,9.825457822,3.755519392,1.313926106,-1.062724886,-0.234945633,0.838227322,9.937307249,-0.466060748,7.127076561,11.00956557,7.614219203,9.935108707,7.163046012,-2.797289984,0.571220941,-0.345062435,4.53805378,1.106331035,1.030729118,-2.64297533,-6.011890778,-3.630695038,-4.676669584,-4.017114161,-8.672432129,-1.954598006,-0.09675473,
Albania,ALB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497202,-0.290595348,3.614655544,-2.749496379,-3.262522334,6.923617285,-11.1879053,-27.56682084,-6.622551212,10.22994935,8.969761659,14.02449593,9.780179879,-10.36110497,9.516484438,13.60806912,7.630022439,9.314397139,4.850475334,5.924211542,5.956569596,6.067882439,6.572922982,6.787228936,8.328108423,4.053139864,4.223083827,2.821642455,1.584872815,1.187234353,1.985388092,2.516827054,3.480293217,3.898112267,4.276311551,2.523540843,-2.745238678,9.922713708,6.13901679,
Andorra,AND,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,-2.526105334,0.997233297,0.890676964,-0.920696156,-5.41248286,-2.528959038,-2.660724654,-3.598624899,-4.552935268,-2.007515147,-3.847772185,-2.979354964,-2.846185526,-2.435730489,-1.480965856,-0.812964068,1.049155172,0.821046214,0.797489469,0.042320625,-0.904014454,-2.328613182,-4.165030095,-0.771998475,-0.330383518,2.661055932,8.165547743,2.396919986,3.355457446,2.83605354,5.372532989,0.076702358,4.196837094,3.882383777,1.578040219,4.292621435,4.22037542,-2.935382027,-2.478037072,1.222687703,1.340893892,-5.571255543,-4.026027034,2.140938982,1.257416013,2.574504588,-1.41657902,-0.003870296,0.23829657,-12.73507756,6.459440532,7.732715652,
Arab World,ARB,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,11.73524775,4.547686653,-3.531306159,7.709218014,5.533636821,0.093920121,-11.28651248,-9.264379694,-1.643407224,-4.848416069,1.270131402,-3.172224218,3.132467441,-0.474443344,8.984517437,0.169087871,2.558803424,0.393823399,0.638723294,0.480481979,2.263965246,2.095606573,2.733720574,-0.439776228,4.209795065,-0.571847649,-1.554918693,2.646637156,6.584108097,3.093774509,3.484811307,1.804784951,2.786829504,-2.157161541,2.236816803,1.347700283,2.874779369,0.320396149,0.141637784,1.280762323,1.54664447,-0.805649364,0.400624382,-0.645635762,-6.70531249,2.142674592,4.250325649,
United Arab Emirates,ARE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,3.097306907,5.516138938,-13.6117817,7.18387947,10.97530592,-3.534486368,-12.12483156,-10.11176334,-1.608639993,-8.570465038,-20.12081994,-3.651285455,-8.852247083,5.556954378,11.58314134,-4.575279929,-1.921751266,-3.614620809,2.042957365,2.0870473,0.092720744,1.35949143,-5.716708524,-2.958957302,4.836129645,-3.851554147,-2.625471695,3.67104717,4.630576274,-2.190420613,-4.017715396,-13.9233874,-13.28742756,-17.1453939,-4.256385863,5.058808708,0.769638851,4.012692142,3.174202489,5.817357874,4.65350539,-0.087326072,0.517239889,0.323686531,-5.731044525,3.487214665,6.982417468,
Argentina,ARG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,3.740902814,-2.454333032,-6.831393315,8.382751477,8.838850212,-2.20928541,1.587241218,3.20815605,8.001733126,1.443199663,3.998125312,0.020487332,1.136093322,3.754159661,-1.673528395,-3.563802521,5.238802842,-6.027002039,8.472518077,-0.077522758,-6.676587246,-2.285150415,2.735130038,0.021379788,-6.613093277,4.561114003,1.164689931,-2.570391833,-8.527911411,-3.877389883,7.589999664,6.450073131,6.747497372,4.420120785,-4.116880801,4.204967319,6.823321092,2.654347597,-4.492112129,-1.906987498,-5.453796978,-11.84595039,7.719229637,7.928157051,7.732496999,6.934981738,7.916210572,3.029785407,-6.867955225,9.844296398,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.601609757,-2.969562499,-10.77027323,9.673920935,3.989131085,
